repository,type,source,keyword,summary,link,status
Xpra-org/xpra,Issue,body+title,OS=osx; FIX=fixed,OSX Launcher has wrong keymapping,https://github.com/Xpra-org/xpra/issues/945,To review
Kozea/Radicale,Issue,body,OS=openbsd; FIX=compatibility; TEST_CI=test,Radicale does not support the current bcrypt format,https://github.com/Kozea/Radicale/issues/301,To review
Xpra-org/xpra,Issue,body+title,OS=ubuntu; FIX=fixed,Pillow errors with Ubuntu Vivid,https://github.com/Xpra-org/xpra/issues/934,To review
ClusterLabs/pcs,Issue,body+comment+title,OS=debian|linux|ubuntu; FIX=fail|fix|fixed; TEST_CI=test; CAUSE=permission denied,Issue observed while installing pcs from source on x86_64 Ubuntu 14.04,https://github.com/ClusterLabs/pcs/issues/66,To review
Xpra-org/xpra,Issue,body+comment+title,OS=debian|fedora|os x|ubuntu; FIX=fails|failure|fix|fixed|fixes; TEST_CI=test; CAUSE=chmod|permission denied,printer forwarding on ubuntu,https://github.com/Xpra-org/xpra/issues/928,To review
AndrewAnnex/SpiceyPy,Issue,body+comment+title,OS=linux|osx|windows; FIX=fails|fix|fixed; TEST_CI=appveyor|ci|pytest|test|tests|travis,general py.test call fails,https://github.com/AndrewAnnex/SpiceyPy/issues/113,Not related
Xpra-org/xpra,Issue,body+comment+title,OS=linux|macos|osx|win32|windows; FIX=broken|fail|fails|fix|fixed; CAUSE=.so,"OSX client - ""Xpra quit unexpectedly""",https://github.com/Xpra-org/xpra/issues/924,To review
chrismattmann/tika-python,Issue,body+title,OS=windows; FIX=fails,Python 2.7.9 on windows fails to download Tika server,https://github.com/chrismattmann/tika-python/issues/54,To review
cherrypy/cherrypy,Issue,comment+title,OS=darwin|linux|ubuntu|unix|windows; FIX=bug|bugfix|fail|failing|fails|failure|fix|fixed|regression; TEST_CI=ci|pytest|test|tests|tox|unittest; API=os.path|posixpath,disabling wsgi interface fails under python3,https://github.com/cherrypy/cherrypy/issues/1377,To review
Xpra-org/xpra,Issue,body+comment,OS=fedora|linux|osx|win32|windows; FIX=bug|fix|fixed|fixes; TEST_CI=test,frame extents synchronization,https://github.com/Xpra-org/xpra/issues/919,To review
Xpra-org/xpra,Issue,body+title,OS=fedora|win32|windows; FIX=fixed,windows 0.15.4 client hangs on control-c disconnect after changing resolution,https://github.com/Xpra-org/xpra/issues/918,To review
Xpra-org/xpra,Issue,body+title,OS=win32|windows; FIX=fixed|fixes,tidy up the win32 build,https://github.com/Xpra-org/xpra/issues/916,To review
StackStorm/st2,Issue,body+comment,OS=arch|centos|rhel; FIX=bug|fail|failing|fails|fix|fixed|workaround; TEST_CI=ci|test|workflow; CAUSE=utf-8,"Execution stuck in ""Running"" state",https://github.com/StackStorm/st2/issues/1717,To review
chrismattmann/tika-python,Issue,body+comment+title,OS=windows; FIX=fix; TEST_CI=test; CAUSE=encoding|utf-8,callServer should test is the typeof is file and if so force unicode,https://github.com/chrismattmann/tika-python/issues/50,To review
OmniSharp/omnisharp-vim,Issue,title,OS=windows; FIX=failure,Windows 8 - msbuild failure,https://github.com/OmniSharp/omnisharp-vim/issues/221,To review
GNS3/gns3-server,Issue,title,OS=windows; FIX=failure,Install failure on Windows,https://github.com/GNS3/gns3-server/issues/257,To review
Xpra-org/xpra,Issue,body+comment,OS=debian|fedora|linux|ubuntu|win32; FIX=broken|bug|fix|fixed|fixes|skip|workaround; TEST_CI=test|workflow,html5 printing,https://github.com/Xpra-org/xpra/issues/913,To review
Xpra-org/xpra,Issue,body+comment,OS=fedora|osx|ubuntu; FIX=breakage|broken|bug|fails|fixed; CAUSE=symlink; API=subprocess,"""Too many open files"" caused by 0.14 clients with trunk (0.16) servers, after many sound restarts",https://github.com/Xpra-org/xpra/issues/912,To review
Xpra-org/xpra,Issue,body,OS=os x|osx; FIX=fixed,GTK Menus not functioning,https://github.com/Xpra-org/xpra/issues/911,To review
StackStorm/st2,Issue,body+title,OS=centos|linux; FIX=broken|fails|skip,Installation via st2_deploy.sh fails under CentOS 7,https://github.com/StackStorm/st2/issues/1696,To review
aboutcode-org/scancode-toolkit,Issue,body+title,OS=linux|win32|windows; FIX=failure; TEST_CI=appveyor|ci|test|tests,Test failure on Windows in developSee appveyor:,https://github.com/aboutcode-org/scancode-toolkit/issues/21,To review
Xpra-org/xpra,Issue,body+comment+title,OS=fedora|osx|win32|windows; FIX=broken|fail|fix|fixed|fixes|regression|skip; TEST_CI=test; CAUSE=encoding,Windows Client crash after locking screen,https://github.com/Xpra-org/xpra/issues/901,To review
Kozea/Radicale,Issue,body+comment,OS=macos|os x|osx; FIX=broken|compatibility,Moving an event from one calendar to another breaks login,https://github.com/Kozea/Radicale/issues/291,To review
Xpra-org/xpra,Issue,body+comment+title,OS=arch|cygwin|linux|ubuntu|windows; FIX=broken|bug|fix|fixed|fixes|workaround; TEST_CI=test,Windows not appearing in task manager,https://github.com/Xpra-org/xpra/issues/895,To review
boto/botocore,Issue,body+comment,OS=linux|osx|ubuntu; FIX=fail|fix,ValueError: Unknown component: endpoint_resolver,https://github.com/boto/botocore/issues/577,To review
OmniSharp/omnisharp-vim,Issue,body,OS=osx|windows; FIX=broken; CAUSE=backslash|slash,OmniSharp#ResolveLocalConfig wrong path delimiter,https://github.com/OmniSharp/omnisharp-vim/issues/216,To review
Xpra-org/xpra,Issue,body+comment,OS=centos|fedora|linux|osx|unix|win32|windows; FIX=broken|compatibility|fails|fix|fixed|fixes|skip; TEST_CI=test; CAUSE=encoding,Move default location of sockets to /run,https://github.com/Xpra-org/xpra/issues/888,To review
Xpra-org/xpra,Issue,body+comment,OS=fedora|linux|ubuntu; FIX=bug|fix|fixed|workaround; CAUSE=encoding; API=encoding=,chrome dpi issue,https://github.com/Xpra-org/xpra/issues/887,To review
ParmEd/ParmEd,Issue,body+title,OS=os x; FIX=broken,parmed.py import clapp broken under anaconda in OS X?,https://github.com/ParmEd/ParmEd/issues/181,To review
beetbox/beets,Issue,body+comment,OS=windows; FIX=bug|fix|workaround; API=subprocess,Keyfinder crashes on non-ascii filenames.,https://github.com/beetbox/beets/issues/1502,To review
Xpra-org/xpra,Issue,body+comment,OS=fedora|osx|win32|windows; FIX=fail|fix|fixed|fixes|workaround; TEST_CI=test,honour window position exactly,https://github.com/Xpra-org/xpra/issues/885,To review
Xpra-org/xpra,Issue,body+comment+title,OS=debian|os x|ubuntu; FIX=bug|fix|fixes,DPI problem with Ubuntu 14.04,https://github.com/Xpra-org/xpra/issues/882,To review
Xpra-org/xpra,Issue,body+title,OS=linux|osx|win32; FIX=fix|fixes,xpra session file launch fixes,https://github.com/Xpra-org/xpra/issues/880,To review
Xpra-org/xpra,Issue,body+comment,OS=centos|fedora|osx|win32|windows; FIX=fix|fixed|fixes; TEST_CI=test; CAUSE=.so|encoding,lz4: support HC and fast modes,https://github.com/Xpra-org/xpra/issues/878,To review
circuits/circuits,Issue,body+comment,OS=debian; FIX=failing|fixed; TEST_CI=ci|test|tests|travis,MANIFEST.in -- Do we need one?,https://github.com/circuits/circuits/issues/78,To review
Xpra-org/xpra,Issue,body+comment,OS=arch|centos|darwin|fedora|linux|macos|os x|osx|win32|windows; FIX=fails|failure|fix|fixed|fixes|workaround; TEST_CI=test|tests; CAUSE=.so,support python-cryptography as well as pycrypto,https://github.com/Xpra-org/xpra/issues/876,To review
GNS3/gns3-server,Issue,body+title,OS=debian|linux|os x; FIX=fixed,Mac OS X: Ethernet NIO loops back send packets,https://github.com/GNS3/gns3-server/issues/201,To review
Xpra-org/xpra,Issue,body+title,OS=fedora; FIX=bug|fails|fixed,Xpra fails to start on Fedora 22,https://github.com/Xpra-org/xpra/issues/872,To review
Xpra-org/xpra,Issue,body+title,OS=darwin|os x; FIX=fails|fixed,xpra start fails on OS X,https://github.com/Xpra-org/xpra/issues/867,To review
Xpra-org/xpra,Issue,body+title,OS=win32; FIX=fixed; CAUSE=encoding,launcher crashes if we click on the encoding drop down a few times,https://github.com/Xpra-org/xpra/issues/864,To review
SCI-ElVis/ElVis,Issue,comment,OS=linux|ubuntu; FIX=fail|failing|failure|regression; TEST_CI=test|tests,FindIsosurfaceInSegment,https://github.com/SCI-ElVis/ElVis/issues/10,To review
beetbox/beets,Issue,body+title,OS=linux; FIX=fail|failing|fix|fixed; TEST_CI=test|tests|tox|travis; CAUSE=encoding|locale,Tests fail on Linux under Tox 2.0's environment isolation,https://github.com/beetbox/beets/issues/1461,To review
Xpra-org/xpra,Issue,body,OS=fedora|osx|windows; FIX=fixed,HTML 5 Client does not have NumLock sync,https://github.com/Xpra-org/xpra/issues/858,To review
Xpra-org/xpra,Issue,body+comment,OS=centos|macos|win32; FIX=bug|compatibility|fails|fix|fixed|fixes|regression; TEST_CI=tests; CAUSE=.so; API=subprocess,py3k server support,https://github.com/Xpra-org/xpra/issues/853,To review
Xpra-org/xpra,Issue,body+comment,OS=debian|fedora|linux|osx|posix|ubuntu|unix|win32|windows; FIX=bug|compatibility|failing|fix|fixed|fixes|skip; TEST_CI=test|tests; CAUSE=encoding; API=encoding=|subprocess,"sound improvements: refactorings, cleanups,",https://github.com/Xpra-org/xpra/issues/849,To review
GNS3/gns3-server,Issue,body+comment+title,OS=linux|windows; FIX=fail|failing|failure|fix|fixed|skip; TEST_CI=pytest|test|tests; API=sys.platform,Compiling on Windows,https://github.com/GNS3/gns3-server/issues/159,To review
Bitmessage/PyBitmessage,Issue,comment,OS=linux|macos|windows; FIX=broken|compatibility|portable,keys.dat file should be encypted [feature request],https://github.com/Bitmessage/PyBitmessage/issues/794,To review
beetbox/beets,Issue,comment,OS=arch|linux; FIX=bug|failure,"Quieter deprecation warnings, at least for `beet completion`",https://github.com/beetbox/beets/issues/1414,To review
Xpra-org/xpra,Issue,body+comment+title,OS=fedora|osx|win32|windows; FIX=broken|bug|fixes|workaround; TEST_CI=test|tests,Sync issue with win32 client clipboard,https://github.com/Xpra-org/xpra/issues/834,To review
beetbox/beets,Issue,body+comment+title,OS=unix|win32|windows; FIX=fails; TEST_CI=test|tests; CAUSE=encoding|utf-8; API=os.path|pathlib|posixpath,Use pathlib everywhere in beets,https://github.com/beetbox/beets/issues/1409,To review
Springerle/py-generic-project,Issue,body,OS=ubuntu; FIX=broken; TEST_CI=test,Add Python3 support to .env script,https://github.com/Springerle/py-generic-project/issues/18,To review
beetbox/beets,Issue,body+comment+title,OS=linux|windows; FIX=broken|bug|failing|fix|fixed|skip|workaround; TEST_CI=test,New replaygain backend bs1770gain failing,https://github.com/beetbox/beets/issues/1398,To review
Xpra-org/xpra,Issue,body+title,OS=win32; FIX=fails|workaround,pillow 2.8.x packaging on win32: workaround pkg_resources import,https://github.com/Xpra-org/xpra/issues/833,To review
Xpra-org/xpra,Issue,body+title,OS=fedora|win32|windows; FIX=fixed,win32 client GUI launcher opens extra cmd window,https://github.com/Xpra-org/xpra/issues/830,To review
Xpra-org/xpra,Issue,body+title,OS=fedora|win32|windows; FIX=bug|fixes,firefox windows won't share top-level focus,https://github.com/Xpra-org/xpra/issues/829,To review
andialbrecht/sqlparse,Issue,body+title,OS=windows; FIX=fails,python 3.4 installation fails on windows,https://github.com/andialbrecht/sqlparse/issues/182,To review
Xpra-org/xpra,Issue,body+comment+title,OS=debian|fedora|linux|ubuntu; FIX=broken|bug|fix|fixed; TEST_CI=test; CAUSE=.so,NVENC support for Ubuntu and Debian,https://github.com/Xpra-org/xpra/issues/828,To review
Xpra-org/xpra,Issue,body+comment,OS=linux|win32|windows; FIX=bug|fix|fixed|fixes; TEST_CI=test|tests; CAUSE=encoding,Title bar don't support Unicode,https://github.com/Xpra-org/xpra/issues/826,To review
Kozea/Radicale,Issue,body+comment,OS=windows; FIX=broken|bug|fix|fixed; TEST_CI=test; CAUSE=encoding|newline|timezone; API=encoding=|newline=|os.path|subprocess,branch master reports AttributeError: 'unicode' object has no attribute 'name' in case of multifilesystem,https://github.com/Kozea/Radicale/issues/272,To review
NagiosEnterprises/ncpa,Issue,body+comment,OS=centos|linux|os x|windows; FIX=bug|fixed; TEST_CI=test; CAUSE=encoding|utf-8; API=encoding=,MacOSX NCPA 1.7.2: Not recognizing plugins,https://github.com/NagiosEnterprises/ncpa/issues/156,To review
ParmEd/ParmEd,Issue,comment,OS=darwin|windows; FIX=compatibility|cross-platform|fix|portability; CAUSE=executable; API=ntpath|os.path|posixpath|sys.platform,repo organization,https://github.com/ParmEd/ParmEd/issues/85,To review
Xpra-org/xpra,Issue,body+comment,OS=ubuntu|win32|windows; FIX=bug|fix|fixed|fixes|workaround; TEST_CI=test,AltGr with swedish layout causes keyboard to get wedged,https://github.com/Xpra-org/xpra/issues/824,To review
StackStorm/st2,Issue,body+title,OS=linux; FIX=fix,Fix / update linux.scp action,https://github.com/StackStorm/st2/issues/1236,To review
Xpra-org/xpra,Issue,body+comment,OS=alpine|arch|debian|linux|posix; FIX=bug|fix|fixed|fixes|workaround; CAUSE=.so,XkbQueryExtension: symbol not found (musl C),https://github.com/Xpra-org/xpra/issues/820,To review
Xpra-org/xpra,Issue,body+title,OS=win32; FIX=fixed,win32 client does not exit cleanly (again),https://github.com/Xpra-org/xpra/issues/819,To review
GNS3/gns3-server,Issue,body+title,OS=windows; FIX=broken,Live reload of config broken on Windows,https://github.com/GNS3/gns3-server/issues/76,To review
astroufsc/chimera,Issue,body+title,OS=windows; FIX=fails|fixed,multiprocessing fails on windows,https://github.com/astroufsc/chimera/issues/36,To review
NaturalHistoryMuseum/inselect,Issue,title,OS=windows; FIX=broken,Barcode reading broken in compiled Inselect on Windows,https://github.com/NaturalHistoryMuseum/inselect/issues/130,To review
NaturalHistoryMuseum/inselect,Issue,body+title,OS=windows; FIX=fails,Barcode reading fails on some Windows machines,https://github.com/NaturalHistoryMuseum/inselect/issues/128,To review
Xpra-org/xpra,Issue,body,OS=win32; FIX=fixed,keyboard language input change during sessions,https://github.com/Xpra-org/xpra/issues/817,To review
OmniSharp/omnisharp-vim,Issue,body+comment,OS=windows; FIX=fix,Ignored warnings in config.json still show up as ticks in vim,https://github.com/OmniSharp/omnisharp-vim/issues/185,To review
VUnit/vunit,Issue,body+comment,OS=windows; FIX=fail|failing|fails|fix|fixed|fixes|skip; TEST_CI=test|tests|unittest; CAUSE=cp1252|encoding|executable; API=errors=,Add communication mechanism,https://github.com/VUnit/vunit/issues/23,To review
Xpra-org/xpra,Issue,body,OS=centos|windows; FIX=broken|fixed,Menus cannot be clicked sometimes (after using SHIFT+WIN+Arrows?),https://github.com/Xpra-org/xpra/issues/814,To review
Xpra-org/xpra,Issue,body+title,OS=centos; FIX=fixed; TEST_CI=test,CentOS 6.4 client throwing xpra main error,https://github.com/Xpra-org/xpra/issues/813,To review
Xpra-org/xpra,Issue,comment,OS=macos|osx|win32|windows; FIX=broken|bug|compatibility|cross-platform|fails|fix|fixed|fixes|regression|skip; TEST_CI=tests; CAUSE=utf-8,re-implement clipboard without nested main,https://github.com/Xpra-org/xpra/issues/812,To review
Xpra-org/xpra,Issue,body+comment+title,OS=fedora|ubuntu|win32|windows; FIX=broken|bug|fix|fixed; TEST_CI=test; CAUSE=encoding,windows lost images,https://github.com/Xpra-org/xpra/issues/809,To review
Xpra-org/xpra,Issue,body+title,OS=darwin|macos|os x|osx; FIX=fixed; CAUSE=encoding; API=platform.release,Xpra client - frequent crashes on OS X,https://github.com/Xpra-org/xpra/issues/808,To review
Xpra-org/xpra,Issue,body+title,OS=fedora|osx; FIX=broken|fails|fixed,Seeing an xpra child map event traceback with fedora 20 0.15.0 r8601,https://github.com/Xpra-org/xpra/issues/807,To review
NagiosEnterprises/ncpa,Issue,comment+title,OS=linux|windows; FIX=fix|fixed; CAUSE=.dll,SSL security issues in Windows ncpa_listener,https://github.com/NagiosEnterprises/ncpa/issues/147,To review
StackStorm/st2,Issue,comment,OS=linux; FIX=broken|fails|fix|fixed,Better stdout support,https://github.com/StackStorm/st2/issues/1052,To review
Xpra-org/xpra,Issue,body+comment,OS=ubuntu|windows; FIX=bug|fix,gnome-terminal tab-titles not updated until mouse-over,https://github.com/Xpra-org/xpra/issues/804,To review
beetbox/beets,Issue,comment,OS=windows; FIX=bug|failing|fix; CAUSE=utf-8,No such file or directory when scrubbing,https://github.com/beetbox/beets/issues/1297,To review
Xpra-org/xpra,Issue,body+title,OS=win32|windows; FIX=fixed,ungroup windows from taskbar,https://github.com/Xpra-org/xpra/issues/799,To review
Xpra-org/xpra,Issue,body+title,OS=ubuntu|win32|windows; FIX=fixed,undecorated windows can't minimize by left-click in it from the win32 taskbar,https://github.com/Xpra-org/xpra/issues/791,To review
Xpra-org/xpra,Issue,body+comment+title,OS=centos|debian|fedora|ubuntu|win32|windows; FIX=bug|fix|fixed|fixes|regression|workaround; TEST_CI=test; API=subprocess,Windows is continous flashing in loop,https://github.com/Xpra-org/xpra/issues/790,To review
SoCo/SoCo,Issue,body+comment,OS=windows; FIX=bug|fail|fails|fix|fixed; TEST_CI=test; CAUSE=encoding|utf-8,Snapshot restore with unicode characters,https://github.com/SoCo/SoCo/issues/281,To review
Xpra-org/xpra,Issue,body+title,OS=fedora|osx; FIX=fixed,OSX client GUI launcher text displaying as empty rectangles,https://github.com/Xpra-org/xpra/issues/788,To review
beetbox/beets,Issue,body+comment,OS=debian|linux|ubuntu|windows|wsl; FIX=bug|fails|fix|fixed|fixes; CAUSE=dynamic library; API=os.path,chroma tells me that audio could not be decoded,https://github.com/beetbox/beets/issues/1250,To review
Xpra-org/xpra,Issue,body+comment+title,OS=debian|fedora|linux|ubuntu|windows; FIX=bug|compatibility|fix|fixed|fixes; TEST_CI=test,Windows are minimized when the virtual desktop is changed,https://github.com/Xpra-org/xpra/issues/787,To review
Xpra-org/xpra,Issue,body,OS=osx|win32; FIX=fixed|skip,more complete EWMH specification support,https://github.com/Xpra-org/xpra/issues/775,To review
Xpra-org/xpra,Issue,body+comment,OS=fedora|linux|os x|osx|win32|windows; FIX=bug|fix|fixed|skip|workaround; TEST_CI=test; API=subprocess,"support more wm states (keep above, below, etc)",https://github.com/Xpra-org/xpra/issues/773,To review
Xpra-org/xpra,Issue,body+title,OS=osx|win32|windows; FIX=fixed,_NET_WM_MOVERESIZE for win32 and osx,https://github.com/Xpra-org/xpra/issues/772,To review
Xpra-org/xpra,Issue,body+title,OS=win32|windows; FIX=fixed; TEST_CI=test,undecorated windows should not cover the taskbar when maximized on win32,https://github.com/Xpra-org/xpra/issues/771,To review
Xpra-org/xpra,Issue,body+comment,OS=centos|fedora|osx|win32|windows; FIX=broken|bug|failing|fails|fix|fixed|fixes|regression|skip; TEST_CI=test|tests,drag and drop support,https://github.com/Xpra-org/xpra/issues/770,To review
ClusterLabs/pcs,Issue,body+comment,OS=centos|debian|fedora|rhel; FIX=broken|bug|fix|fixed|fixes|portable|workaround; TEST_CI=test|tests,ruby-mri only binding to IPV6 interfaces,https://github.com/ClusterLabs/pcs/issues/51,To review
LinkedInAttic/Zopkio,Issue,body+comment,OS=linux|osx; FIX=fix; TEST_CI=test|tests,Make zopkio's SSH work better out of the box,https://github.com/LinkedInAttic/Zopkio/issues/40,To review
MartinThoma/hwrt,Issue,body+title,OS=windows; FIX=compatibility,Windows compatibility,https://github.com/MartinThoma/hwrt/issues/17,To review
beetbox/beets,Issue,body+comment+title,OS=windows; FIX=fix|workaround; CAUSE=encoding|utf-8; API=os.path|subprocess,convert: Character encoding/path issue on Windows,https://github.com/beetbox/beets/issues/1166,To review
beetbox/beets,Issue,body+title,OS=windows; FIX=failing; CAUSE=encoding,convert plugin failing on Windows,https://github.com/beetbox/beets/issues/1154,To review
beetbox/beets,Issue,body+title,OS=windows; FIX=fails,artresizer fails to resize images on windows,https://github.com/beetbox/beets/issues/1142,To review
benoitc/gunicorn,Issue,body+title,OS=ubuntu; FIX=bug,Installing gunicorn vis pip on Ubuntu after update ``pip install gunicorn`` gives the error,https://github.com/benoitc/gunicorn/issues/956,To review
Xpra-org/xpra,Issue,body+comment,OS=fedora|ubuntu|win32|windows; FIX=bug|fix|fixed|fixes|regression; TEST_CI=test; CAUSE=chmod,Tooltips have a title bar,https://github.com/Xpra-org/xpra/issues/762,To review
Kozea/Radicale,Issue,body+comment,OS=linux|ubuntu; FIX=broken|fail|fails|failure; TEST_CI=test; CAUSE=chmod|permission denied,radicale sometimes crashes on startup,https://github.com/Kozea/Radicale/issues/241,To review
Xpra-org/xpra,Issue,body+comment,OS=fedora|linux|macos|osx|ubuntu|win32|windows; FIX=bug|workaround; TEST_CI=test; CAUSE=encoding; API=encoding=,hovering on a window sitting in the background can cause it to be raised when a tooltip is shown,https://github.com/Xpra-org/xpra/issues/761,To review
Xpra-org/xpra,Issue,body+comment,OS=fedora|linux|osx|win32|windows; FIX=bug|fix|fixed|fixes|workaround; TEST_CI=test; CAUSE=encoding; API=encoding=,"debug option for subregion color coding according to encodings, quality, speed, etc?",https://github.com/Xpra-org/xpra/issues/760,To review
Xpra-org/xpra,Issue,body+title,OS=win32|windows; FIX=fixed,xpra erroneously sends meta key from windows,https://github.com/Xpra-org/xpra/issues/759,To review
NagiosEnterprises/ncpa,Issue,body+comment+title,OS=centos|linux|rhel|unix; FIX=fix|fixed,Linux partition size check percentage used not taking super user into account,https://github.com/NagiosEnterprises/ncpa/issues/102,To review
Xpra-org/xpra,Issue,body+comment+title,OS=fedora|osx|windows; FIX=bug|failure|fixed; TEST_CI=test; CAUSE=encoding,"Getting ""BUG: failed to setup video pipeline..."" Server output",https://github.com/Xpra-org/xpra/issues/757,To review
NagiosEnterprises/ncpa,Issue,body+comment,OS=arch|centos|linux|windows; FIX=fix|fixed,CPU Usage Flapping at 100%,https://github.com/NagiosEnterprises/ncpa/issues/101,To review
Xpra-org/xpra,Issue,body+title,OS=windows; FIX=fixed,"Windows 8.1 running a client shows ""unexpected messare: 800 in output when default background shifts",https://github.com/Xpra-org/xpra/issues/754,To review
Xpra-org/xpra,Issue,body+comment,OS=centos|cygwin|linux|win32|windows; FIX=broken|bug|failure|fix|fixed|fixes; TEST_CI=test|tests; CAUSE=.so|encoding,Menus appear anywhere on the screen,https://github.com/Xpra-org/xpra/issues/751,To review
NagiosEnterprises/ncpa,Issue,comment,OS=centos|windows; FIX=bug|fail|failure|fix|fixed; TEST_CI=test,Weak Ciphers and POODLE SSL3 issue,https://github.com/NagiosEnterprises/ncpa/issues/100,To review
Xpra-org/xpra,Issue,body+comment+title,OS=linux|osx|win32|windows; FIX=bug|fail|fix|fixed; TEST_CI=test; CAUSE=encoding,OpenGL issues with Intel 4000 chipset on MS Windows,https://github.com/Xpra-org/xpra/issues/745,To review
benoitc/gunicorn,Issue,body+comment,OS=linux|ubuntu; FIX=bug|fails,gunicorn --daemon possible race condition,https://github.com/benoitc/gunicorn/issues/949,To review
celery/billiard,Issue,body+title,OS=linux|windows; FIX=fails,Forking fails on Windows if top-level script is not a python module (i.e. does not have .py suffix in filename),https://github.com/celery/billiard/issues/129,To review
Xpra-org/xpra,Issue,body+comment+title,OS=linux|macos|os x|osx|windows; FIX=bug|fail|failing|fails; TEST_CI=test|tests,connection timeout error after update to Mac OS X 10.10 Yosemite - forticlient,https://github.com/Xpra-org/xpra/issues/742,To review
Xpra-org/xpra,Issue,body+comment,OS=linux|unix|windows; FIX=bug|fix|fixed|fixes; TEST_CI=test|tests; CAUSE=encoding|lf; API=encoding=,xpra launcher does not handle autoconnect properly,https://github.com/Xpra-org/xpra/issues/739,To review
Xpra-org/xpra,Issue,body+comment,OS=debian|linux; FIX=broken|bug|fails|fixed|fixes; TEST_CI=test; CAUSE=executable,xpra on Raspberry Pi,https://github.com/Xpra-org/xpra/issues/737,To review
Bitmessage/PyBitmessage,Issue,comment,OS=osx|windows; FIX=fixed|fixes; TEST_CI=test; CAUSE=executable,Dialog buttons are not localized,https://github.com/Bitmessage/PyBitmessage/issues/737,To review
Xpra-org/xpra,Issue,body+title,OS=win32; FIX=fixed; TEST_CI=tests,xterm's empty cursor does not show on win32,https://github.com/Xpra-org/xpra/issues/734,To review
Xpra-org/xpra,Issue,comment,OS=centos|fedora|linux|macos|osx; FIX=bug|compatibility|fail|failing|fails|fix|fixed; CAUSE=permission denied,register the xpra mdns service type,https://github.com/Xpra-org/xpra/issues/731,To review
NagiosEnterprises/ncpa,Issue,body+comment+title,OS=linux|windows; FIX=bug|fix|fixed; TEST_CI=test; CAUSE=executable,Installation not creating services (Windows Server 2008 x64 & Windows Server 2012 R2 x64),https://github.com/NagiosEnterprises/ncpa/issues/94,To review
Kozea/Radicale,Issue,body+title,OS=linux|windows; FIX=broken,Missing signal.SIGHUP on windows breaks logging to file,https://github.com/Kozea/Radicale/issues/229,To review
Xpra-org/xpra,Issue,body+comment,OS=ubuntu|win32|windows; FIX=bug|fix|fixed|fixes|regression|workaround; TEST_CI=test; CAUSE=encoding,System tray not able to change options with mix of left and right clicks,https://github.com/Xpra-org/xpra/issues/724,To review
NagiosEnterprises/ncpa,Issue,body+comment+title,OS=arch|centos|linux; FIX=fail|fix|fixed; CAUSE=.so,NCPA-1.7.2 CentOS 7 RPM does not install,https://github.com/NagiosEnterprises/ncpa/issues/90,To review
Xpra-org/xpra,Issue,body+comment,OS=centos|fedora|linux|solaris|ubuntu|windows; FIX=bug|fail|fails|fix|fixed; TEST_CI=test|tests,focus change requests in java applications does not work,https://github.com/Xpra-org/xpra/issues/718,To review
HaroldMills/Vesper,Issue,body+title,OS=os x|windows; FIX=fails,Display of zero-length spectrograms in viewer fails on Windows.,https://github.com/HaroldMills/Vesper/issues/30,To review
Xpra-org/xpra,Issue,body+comment,OS=centos|fedora|windows; FIX=broken|bug|fails|failure|fix|fixed|fixes|skip; TEST_CI=test|tests; CAUSE=.so|encoding; API=encoding=,client crashes with opengl enabled and transparency,https://github.com/Xpra-org/xpra/issues/717,To review
Xpra-org/xpra,Issue,body+comment,OS=fedora|windows; FIX=bug|fix|skip; TEST_CI=test; CAUSE=encoding,Cursor in YouTube search bar causes elevated bandwidth usage,https://github.com/Xpra-org/xpra/issues/715,To review
by-cx/InvoiceGenerator,Issue,body+comment,OS=arch|fedora|freebsd|linux|macos|os x|ubuntu|windows; FIX=broken|bug|fix|fixed; TEST_CI=test,python2: DejaVuSans.ttf not found,https://github.com/by-cx/InvoiceGenerator/issues/9,To review
NaturalHistoryMuseum/inselect,Issue,comment,OS=linux|os x|windows; FIX=fail|fails; TEST_CI=ci|matrix|test,Decode barcodes on cropped specimen images,https://github.com/NaturalHistoryMuseum/inselect/issues/88,To review
Xpra-org/xpra,Issue,body+comment,OS=fedora|linux|osx|win32|windows; FIX=bug|failing|fix|fixed|fixes|regression|skip; TEST_CI=test,current using window is on top,https://github.com/Xpra-org/xpra/issues/713,To review
Xpra-org/xpra,Issue,body+title,OS=debian; FIX=broken|fails,Debian packaging is broken in 0.15,https://github.com/Xpra-org/xpra/issues/710,To review
Xpra-org/xpra,Issue,body+title,OS=linux|os x|osx|windows; FIX=fixed,Cannot switch window focus using keyboard on OS X,https://github.com/Xpra-org/xpra/issues/708,To review
Xpra-org/xpra,Issue,body+title,OS=linux|posix|rhel; FIX=bug|fix|fixed|workaround,Fallout from shellshock fix,https://github.com/Xpra-org/xpra/issues/707,To review
Xpra-org/xpra,Issue,body+comment,OS=linux|macos|osx|ubuntu|windows; FIX=bug|fails; CAUSE=encoding; API=encoding=,Connection gets lost after eclipse auto-completion window is activated,https://github.com/Xpra-org/xpra/issues/702,To review
Xpra-org/xpra,Issue,body+title,OS=osx; FIX=fixed,xpra launcher causes new menus to show in global menu bar on osx,https://github.com/Xpra-org/xpra/issues/701,To review
Xpra-org/xpra,Issue,body+comment+title,OS=fedora|linux|osx|win32|windows; FIX=broken|failure|fix|fixed|fixes|workaround; TEST_CI=test|tests,gtk screen dimension detection is broken with high dpi displays on windows7 and later,https://github.com/Xpra-org/xpra/issues/697,To review
